Tm,Name,Pos,Age,Proj PA,Proj IP,Service Time,Options or R5 Status,Projected Opening Day Status,Salary
CIN,Cam Bedrosian,RP,29.5,,40,5.153,n/a,Middle Reliever,162162
CIN,Cionel Pérez,RP,24.9,,38,1.01,1,Middle Reliever,570500
CIN,Sal Romano,RP,27.5,,,1.167,0,Middle Reliever,570500
CIN,Carson Fulmer,RP,27.3,,,2.035,0,Long Reliever,570500
CIN,Sonny Gray,SP,31.4,,163,7.061,n/a,10-Day IL,10666667
CIN,Michael Lorenzen,SP/RP,29.2,,88,5.159,n/a,10-Day IL,4437500
CIN,Shogo Akiyama,OF,33,189,,1,3,10-Day IL,7000000
CIN,Brandon Bailey,SP/RP,26.5,,,0.064,2,60-Day IL,570500
CLE,José Ramírez,3B,28.5,665,,6.074,n/a,Lineup Regular,9400000
CLE,Franmil Reyes,DH,25.7,644,,2.115,2,Lineup Regular,602400
CLE,Eddie Rosario,LF,29.5,588,,5.12,n/a,Lineup Regular,8000000
CLE,César Hernández,2B,30.9,539,,6.154,n/a,Lineup Regular,5000000
CLE,Andrés Giménez,SS,22.6,497,,1,3,Lineup Regular,570500
CLE,Roberto Pérez,C,32.3,301,,6.083,n/a,Lineup Regular,5500000
CLE,Josh Naylor,RF,23.8,252,,1.118,3,Lineup Regular,577500
CLE,Ben Gamel,CF,28.9,518,,4.029,1,Platoon vs R,1500000
CLE,Yu Chang,INF,25.6,245,,1.005,1,Platoon vs L,570500
CLE,Jake Bauers,1B,25.5,175,,1.1,0,Platoon vs R,570500
CLE,Jordan Luplow,OF,27.5,133,,2.112,1,Platoon vs L,581500
CLE,Shane Bieber,SP,25.8,,193,2.097,2,Starting Rotation,679700
CLE,Zach Plesac,SP,26.2,,171,1.078,3,Starting Rotation,590200
CLE,Aaron Civale,SP,25.8,,160,1.058,2,Starting Rotation,587400
CLE,Logan Allen,SP,23.9,,61,0.083,1,Starting Rotation,570500
CLE,Amed Rosario,INF/OF,25.4,595,,3.062,2,Bench,2400000
CLE,Austin Hedges,C,28.6,384,,4.166,2,Bench,3280000
CLE,James Karinchak,RP,25.5,,66,1.017,3,Closer,585000
CLE,Emmanuel Clase,RP,23,,67,0.059,3,Setup Man,571800
CLE,Nick Wittgren,RP,29.8,,56,4.071,1,Setup Man,2000000
CLE,Cal Quantrill,RP,25.5,,169,1.132,2,Middle Reliever,586200
CLE,Bryan Shaw,RP,33.4,,72,8.148,n/a,Middle Reliever,1000000
CLE,Phil Maton,RP,28,,65,3.047,1,Middle Reliever,975000
CLE,Oliver Pérez,RP,39.6,,39,16.093,n/a,Middle Reliever,182432
CLE,Triston McKenzie,RP,23.7,,122,0.103,2,Long Reliever,575300
CLE,Trevor Stephan,RP,25.3,,54,0,3,Long Reliever,570500
CLE,Cam Hill,RP,26.9,,,0.158,3,60-Day IL,570500
COL,Trevor Story,SS,28.4,644,,5,n/a,Lineup Regular,18500000
COL,C.J. Cron,1B,31.2,581,,6.097,n/a,Lineup Regular,1000000
COL,Charlie Blackmon,RF,34.8,560,,8.102,n/a,Lineup Regular,21000000
COL,Raimel Tapia,LF,27.2,497,,3.02,0,Lineup Regular,1950000
COL,Elias Díaz,C,30.4,358,,4.088,0,Lineup Regular,1200000
COL,Joshua Fuentes,3B,28.1,,,1.015,2,Lineup Regular,575500
COL,Ryan McMahon,2B,26.3,581,,3.006,1,Platoon vs R,2375000
COL,Garrett Hampson,INF/OF,26.5,518,,2.03,1,Platoon vs L,580500
COL,Sam Hilliard,CF,27.1,420,,1.034,2,Platoon vs R,570500
COL,Chris Owings,INF/OF,29.6,126,,6.131,n/a,Platoon vs L,1000000
COL,Germán Márquez,SP,26.1,,196,4.027,2,Starting Rotation,7800000
COL,Antonio Senzatela,SP,26.2,,180,3.106,0,Starting Rotation,3000000
COL,Jon Gray,SP,29.4,,169,5.062,n/a,Starting Rotation,6000000
COL,Austin Gomber,SP,27.4,,158,1.111,1,Starting Rotation,575500
COL,Yonathan Daza,OF,27.1,301,,0.101,0,Bench,572500
COL,Dom Nuñez,C,26.2,262,,0.048,2,Bench,570500
COL,Daniel Bard,RP,35.8,,65,4.103,1,Closer,2925000
COL,Mychal Givens,RP,30.9,,66,5.069,n/a,Setup Man,4050000
COL,Tyler Kinley,RP,30.2,,58,2.014,2,Setup Man,580500
COL,Carlos Estévez,RP,28.3,,63,4.022,0,Middle Reliever,1450000
COL,Robert Stephenson,RP,28.1,,63,3.049,0,Middle Reliever,805000
COL,Jordan Sheffield,RP,25.8,,48,0,3,Middle Reliever,570500
COL,Yency Almonte,RP,26.8,,37,1.168,0,Middle Reliever,575500
COL,Ben Bowden,RP,26.4,,34,0,2,Middle Reliever,570500
COL,Jhoulys Chacín,RP,33.2,,62,9.087,n/a,Long Reliever,800000
COL,Chi Chi González,RP,29.2,,,2.149,0,Long Reliever,1100000
COL,Kyle Freeland,SP,27.9,,163,3.144,2,10-Day IL,5025000
COL,Peter Lambert,SP,24,,71,1.116,3,60-Day IL,570500
COL,Scott Oberg,RP,31.1,,14,5.063,n/a,60-Day IL,4000000
COL,Brendan Rodgers,INF,24.6,560,,1.075,2,10-Day IL,575500
DET,Jeimer Candelario,3B,27.4,630,,3.038,0,Lineup Regular,2850000
DET,Jonathan Schoop,2B,29.5,616,,7.027,n/a,Lineup Regular,4500000
DET,Robbie Grossman,LF,31.5,602,,6.06,n/a,Lineup Regular,5000000
DET,Miguel Cabrera,1B,38,532,,17.101,n/a,Lineup Regular,30000000
DET,Victor Reyes,RF,26.5,266,,2.084,2,Lineup Regular,587100
DET,Wilson Ramos,C,33.6,192,,10.047,n/a,Lineup Regular,2000000
DET,Willi Castro,SS,23.9,112,,0.17,1,Lineup Regular,578500
DET,JaCoby Jones,CF,28.9,,,3.125,2,Lineup Regular,2650000
DET,Niko Goodrum,INF/OF,29.1,532,,3.031,3,Platoon vs L,2100000
DET,Nomar Mazara,DH,25.9,280,,5,n/a,Platoon vs R,1750000
DET,Casey Mize,SP,23.9,,171,0.111,3,Starting Rotation,574100
DET,Tarik Skubal,SP,24.4,,158,0.114,3,Starting Rotation,574300
DET,José Ureña,SP,29.6,,121,5.04,n/a,Starting Rotation,3250000
DET,Julio Teheran,SP,30.2,,96,8.062,n/a,Starting Rotation,3000000
DET,Matthew Boyd,SP,30.2,,81,4.136,0,Starting Rotation,6500000
DET,Akil Baddoo,OF,22.6,616,,0,3,Bench,570500
DET,Harold Castro,INF/OF,27.3,231,,1.141,2,Bench,581700
DET,Grayson Greiner,C,28.5,32,,2.083,2,Bench,583100
DET,Gregory Soto,RP,26.1,,68,1.102,1,Closer,579600
DET,José Cisnero,RP,32,,61,3.02,1,Closer,970000
DET,Daniel Norris,RP,27.9,,56,5.073,n/a,Closer,3475000
DET,Bryan Garcia,RP,26,,42,1.029,3,Closer,570500
DET,Buck Farmer,RP,30.1,,30,4.083,0,Closer,1850000
DET,Michael Fulmer,RP,28,,65,4.157,2,Middle Reliever,3100000
DET,Derek Holland,RP,34.5,,59,11.105,n/a,Middle Reliever,925000
DET,Tyler Alexander,RP,26.7,,102,1.058,2,Long Reliever,578800
DET,Rony García,SP/RP,23.3,,22,1,3,10-Day IL,570500
DET,Spencer Turnbull,SP,28.5,,,2.02,2,COVID-19 IL,586900
HOU,Jose Altuve,2B,30.9,637,,9.072,n/a,Lineup Regular,29000000
HOU,Carlos Correa,SS,26.5,637,,5.119,n/a,Lineup Regular,11700000
HOU,Kyle Tucker,RF,24.2,637,,1.079,1,Lineup Regular,624300
HOU,Yordan Alvarez,DH,23.8,630,,1.113,3,Lineup Regular,609000
HOU,Alex Bregman,3B,27,630,,4.07,3,Lineup Regular,13000000
HOU,Yuli Gurriel,1B,36.8,602,,4.043,2,Lineup Regular,6500000
HOU,Myles Straw,CF,26.5,560,,1.112,2,Lineup Regular,590400
HOU,Michael Brantley,LF,33.9,539,,10.131,n/a,Lineup Regular,16000000
HOU,Martín Maldonado,C,34.6,454,,8.156,n/a,Lineup Regular,3500000
HOU,Luis Garcia (HOU),SP,24.3,,168,0.125,3,Starting Rotation,580100
HOU,Zack Greinke,SP,37.4,,160,16.057,n/a,Starting Rotation,35000000
HOU,Lance McCullers Jr.,SP,27.5,,147,5.14,n/a,Starting Rotation,6500000
HOU,José Urquidy,SP,25.9,,145,1.049,2,Starting Rotation,604200
HOU,Cristian Javier,SP,24,,83,1,3,Starting Rotation,620400
HOU,Aledmys Díaz,INF/OF,30.7,441,,4.1,0,Bench,3000000
HOU,Chas McCormick,OF,26,301,,0,3,Bench,570500
HOU,Jason Castro,C,33.8,160,,10.104,n/a,Bench,3500000
HOU,Robel García,INF,28,,,0.061,1,Bench,570500
HOU,Ryan Pressly,RP,32.3,,66,7.039,n/a,Closer,8750000
HOU,Blake Taylor,RP,25.6,,62,1,3,Setup Man,599100
HOU,Enoli Paredes,RP,25.5,,10,1,3,Setup Man,570500
HOU,Ryne Stanek,RP,29.7,,70,3.038,1,Middle Reliever,1100000
HOU,Brooks Raley,RP,32.8,,61,1.045,0,Middle Reliever,2000000
HOU,Joe Smith,RP,37,,47,12.091,n/a,Middle Reliever,4000000
HOU,Bryan Abreu,RP,23.6,,30,0.064,1,Middle Reliever,570500
HOU,Brandon Bielak,RP,25,,38,1,3,Long Reliever,570500
HOU,Framber Valdez,SP,27.4,,191,1.163,2,10-Day IL,637300
HOU,Justin Verlander,SP,38.1,,175,15.002,n/a,60-Day IL,33000000
HOU,Pedro Báez,RP,33.1,,58,6.059,n/a,10-Day IL,4750000
HOU,Josh James,SP/RP,28.1,,32,2.03,3,10-Day IL,602000
HOU,Andre Scrubb,RP,26.2,,26,1,3,10-Day IL,570500
HOU,Austin Pruitt,RP/SP,31.6,,,2.125,0,10-Day IL,617500
KCR,Whit Merrifield,2B,32.2,644,,4.101,2,Lineup Regular,6750000
KCR,Jorge Soler,DH,29.1,630,,5.143,n/a,Lineup Regular,8050000
KCR,Salvador Perez,C,30.9,601,,9.05,n/a,Lineup Regular,14200000
KCR,Andrew Benintendi,LF,26.7,560,,4.062,3,Lineup Regular,6600000
KCR,Michael A. Taylor,CF,30,539,,5.129,n/a,Lineup Regular,1750000
KCR,Hunter Dozier,3B,29.6,511,,3.06,1,Lineup Regular,2500000
KCR,Carlos Santana,1B,35,427,,10.115,n/a,Lineup Regular,7000000
KCR,Nicky Lopez,SS,26.1,609,,1.139,3,Platoon vs R,597500
KCR,Kyle Isbel,RF,24.1,434,,0,3,Platoon vs R,570500
KCR,Ryan McBroom,1B/OF,29,,,1.008,3,Platoon vs L,570500
KCR,Hanser Alberto,INF,28.5,,,4.085,0,Platoon vs L,1650000
KCR,Mike Minor,SP,33.3,,176,9.138,n/a,Starting Rotation,7000000
KCR,Brad Keller,SP,25.7,,159,3,3,Starting Rotation,3350000
KCR,Brady Singer,SP,24.7,,150,1,3,Starting Rotation,593700
KCR,Danny Duffy,SP,32.3,,125,9.085,n/a,Starting Rotation,15500000
KCR,Jarrod Dyson,OF,36.6,217,,9.088,n/a,Bench,1500000
KCR,Cam Gallagher,C,28.3,134,,2.106,1,Bench,604000
KCR,Greg Holland,RP,35.4,,48,8.163,n/a,Closer,2750000
KCR,Scott Barlow,RP,28.3,,66,2.03,2,Setup Man,650000
KCR,Josh Staumont,RP,27.3,,64,1.072,2,Setup Man,588700
KCR,Jake Brentz,RP,26.5,,60,0,3,Middle Reliever,570500
KCR,Kyle Zimmer,RP,29.5,,52,1.064,1,Middle Reliever,588700
KCR,Jesse Hahn,RP,31.7,,44,5.031,n/a,Middle Reliever,1750000
KCR,Wade Davis,RP,35.6,,42,11.029,n/a,Middle Reliever,1250000
KCR,Carlos Hernández,RP,24.1,,134,0.081,2,Long Reliever,570500
KCR,Jakob Junis,RP,28.5,,80,3.082,2,Long Reliever,1700000
KCR,Adalberto Mondesi,SS,25.7,588,,3.088,0,10-Day IL,2525000
LAA,Shohei Ohtani,DH/SP,26.7,637,175,3,3,Lineup Regular,3000000
LAA,David Fletcher,2B,26.8,651,,2.111,3,Lineup Regular,2000000
LAA,Mike Trout,CF,29.7,637,,9.07,n/a,Lineup Regular,37116667
LAA,Anthony Rendon,3B,30.8,574,,7.13,n/a,Lineup Regular,28071429
